Chunk,Frame,PSNR (dB),SSIM
46,441,39.5779,0.986433
46,442,40.0163,0.98751
46,443,39.7222,0.98679
46,444,39.3236,0.986047
46,445,39.0528,0.985284
46,446,39.0334,0.985446
46,447,39.0662,0.985293
46,448,38.74,0.984846
46,449,38.5782,0.984201
46,450,38.5913,0.984475
46,451,38.6413,0.984473
46,452,38.3381,0.983843
46,453,38.2052,0.983359
46,454,38.2518,0.98374
46,455,39.5911,0.986279
46,456,37.9914,0.98353
46,457,38.5994,0.9844
46,458,38.1086,0.983927
46,459,38.5343,0.984244
46,460,38.0427,0.983124
46,461,37.8575,0.982418
46,462,38.085,0.983071
46,463,38.1957,0.983069
46,464,37.9119,0.982613
46,465,37.6739,0.981876
46,466,37.8279,0.982277
46,467,37.9058,0.982483
46,468,37.815,0.982001
46,469,37.7604,0.9819
46,470,39.0888,0.984821
46,471,38.048,0.983134
46,472,38.3165,0.983244
46,473,38.0609,0.982787
46,474,38.1354,0.982731
46,475,38.045,0.982624
46,476,37.9362,0.982033
46,477,37.8295,0.982086
46,478,37.8864,0.981847
46,479,37.6062,0.981138
46,480,37.1105,0.979621
46,481,37.7327,0.981124
46,482,37.6759,0.981322
46,483,37.6268,0.980938
46,484,37.1692,0.979842
46,485,38.5365,0.98341
46,486,37.7388,0.982292
46,487,38.6924,0.983537
46,488,38.1118,0.982761
46,489,38.1964,0.982487
46,490,37.6419,0.981364
46,491,37.3535,0.980474
46,492,37.4424,0.980701
46,493,37.4009,0.980657
46,494,37.2266,0.979855
46,495,37.1073,0.979575
46,496,37.0866,0.979158
46,497,36.9524,0.979103
46,498,36.826,0.978432
46,499,34.7505,0.969085
46,500,37.2124,0.978264
46,501,35.6237,0.97403
46,502,36.4658,0.976702
46,503,36.4632,0.97696
46,504,36.4785,0.976747
46,505,36.5611,0.977177
46,506,36.4909,0.976731
46,507,36.6301,0.977482
46,508,36.3827,0.976216
46,509,36.4308,0.976606
46,510,36.5197,0.976453
46,511,36.3419,0.976402
46,512,36.2558,0.975505
46,513,36.2103,0.975536
46,514,36.2319,0.975326
46,515,37.6182,0.97941
46,516,36.4638,0.976065
46,517,37.4558,0.978946
46,518,36.8458,0.977159
46,519,37.4404,0.978958
46,520,36.6156,0.976234
46,521,36.8299,0.976995
46,522,36.7409,0.976385
46,523,36.7273,0.976679
46,524,36.4947,0.975433
46,525,36.3914,0.97534
46,526,36.4292,0.975016
46,527,36.3619,0.97504
46,528,36.3734,0.974534
46,529,36.1795,0.974076
46,530,36.3646,0.974327
46,531,36.3098,0.974461
46,532,36.1112,0.973123
46,533,36.0367,0.973077
46,534,36.0604,0.972756
46,535,36.041,0.97313
46,536,35.9887,0.972412
46,537,35.8678,0.972087
46,538,35.733,0.972239
46,539,36.0002,0.97336
46,540,35.7907,0.972088
46,541,35.8326,0.972285
46,542,35.8268,0.971832
46,543,36.1313,0.973358
46,544,35.7428,0.97136
46,545,35.8709,0.971824
46,546,35.8758,0.971484
46,547,35.8645,0.971784
46,548,35.708,0.97058
46,549,35.6579,0.970444
46,550,35.6823,0.9699
46,551,35.8847,0.971004
