Frame,PSNR,SSIM
1004,29.2276,0.78866
1005,29.2766,0.789722
1006,29.298,0.791074
1007,29.4306,0.795372
1008,29.7127,0.804182
1009,29.5394,0.799252
1010,29.6977,0.804431
1011,30.0394,0.814963
1012,29.9109,0.81185
1013,29.9232,0.812898
1014,30.2122,0.821237
1015,30.127,0.819651
1016,30.217,0.821952
1017,30.1078,0.818649
1018,30.3317,0.825412
1019,30.3743,0.827207
1020,30.3187,0.825684
1021,30.4399,0.82959
1022,30.5607,0.832558
1023,30.4913,0.831154
1024,30.4076,0.828298
1025,26.5596,0.69321
1026,30.2223,0.827959
1027,30.0808,0.824173
1028,30.1679,0.827128
1029,30.1112,0.825648
1030,30.0708,0.824584
1031,30.1846,0.826383
1032,30.2863,0.830378
1033,30.3755,0.832635
1034,30.2672,0.829687
1035,30.4066,0.833351
1036,30.5085,0.835584
1037,30.4038,0.833314
1038,30.4564,0.83385
1039,30.5772,0.837975
1040,30.6356,0.839567
1041,30.5164,0.836536
1042,30.6526,0.840465
1043,30.6726,0.840406
1044,30.599,0.838751
1045,30.5901,0.83763
1046,30.85,0.844837
1047,30.7542,0.84347
1048,30.7204,0.842028
1049,30.8025,0.844546
1050,30.9706,0.848573
1051,30.8585,0.846357
1052,30.7866,0.843968
1053,31.1301,0.852365
1054,31.0182,0.85106
1055,31.1231,0.852486
1056,31.0953,0.852546
1057,31.0326,0.850164
1058,30.893,0.846185
1059,31.0764,0.850978
1060,31.1584,0.852933
1061,31.0407,0.850315
1062,31.0864,0.851546
1063,31.1542,0.852965
1064,31.0899,0.850925
1065,30.9034,0.846214
1066,31.1138,0.851495
1067,31.2139,0.854041
1068,31.0856,0.851517
1069,31.1263,0.852507
1070,32.8906,0.891883
1071,32.5678,0.888607
1072,32.3574,0.885068
1073,32.1057,0.880212
1074,32.2958,0.883789
1075,32.4084,0.885884
1076,32.3284,0.884458
1077,32.3314,0.884549
1078,32.3767,0.885114
1079,32.4538,0.886442
1080,32.2265,0.882342
1081,32.0589,0.87876
1082,32.234,0.882222
